time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/15/2025 18:45,147.352,147.359,147.258,147.261,1154,21,40.97519417,1,-1,1,-1,0.076290039,-1.2,2,-1,0.091,0.101,1.22,1.36,-1,WAIT
9/15/2025 19:00,147.261,147.345,147.232,147.345,920,21,49.00264758,-1,1,-1,-1,0.078912289,1.1,2,1,0.084,0.113,1.1,1.48,1,WAIT
9/15/2025 19:15,147.345,147.385,147.318,147.383,921,21,52.17161611,1,1,1,1,0.078061378,0.48,2,1,0.038,0.067,0.48,0.85,1,WAIT
9/15/2025 19:30,147.385,147.405,147.317,147.321,964,20,47.03599038,1,-1,1,-1,0.078771305,-0.79,2,-1,0.064,0.088,0.82,1.13,-1,WAIT
9/15/2025 19:45,147.323,147.369,147.314,147.326,1195,20,47.48494854,-1,1,-1,-1,0.077073298,0.06,2,1,0.003,0.055,0.04,0.7,1,WAIT
9/15/2025 20:00,147.325,147.354,147.313,147.332,1014,20,48.053989,1,1,-1,-1,0.074496553,0.08,2,1,0.007,0.041,0.09,0.53,1,WAIT
9/15/2025 20:15,147.331,147.359,147.319,147.323,679,22,47.22732572,1,-1,1,1,0.072032442,-0.12,2,-1,0.008,0.04,0.11,0.54,-1,WAIT
9/15/2025 20:30,147.324,147.33,147.268,147.284,791,20,43.71768141,-1,-1,-1,-1,0.07131582,-0.54,2,-1,0.04,0.062,0.56,0.86,-1,WAIT
9/15/2025 20:45,147.284,147.288,147.232,147.243,827,20,40.32496411,-1,-1,-1,-1,0.070221805,-0.57,2,-1,0.041,0.056,0.57,0.79,-1,WAIT
9/15/2025 21:00,147.241,147.257,147.228,147.255,602,20,41.74981665,-1,1,-1,-1,0.067277323,0.17,2,1,0.014,0.029,0.2,0.41,1,WAIT
9/15/2025 21:15,147.254,147.276,147.244,147.245,551,20,40.87397115,1,-1,1,1,0.064757459,-0.15,2,-1,0.009,0.032,0.13,0.48,-1,WAIT
9/15/2025 21:30,147.244,147.288,147.244,147.254,806,21,42.05221974,-1,1,1,0,0.063274754,0.14,2,1,0.01,0.044,0.15,0.68,1,WAIT
9/15/2025 21:45,147.254,147.318,147.254,147.315,833,20,49.41071136,1,1,1,1,0.063326558,0.96,2,1,0.061,0.064,0.96,1.01,1,WAIT
9/15/2025 22:00,147.314,147.327,147.304,147.306,693,20,48.43348522,1,-1,1,1,0.06044604,-0.14,2,-1,0.008,0.023,0.13,0.36,-1,WAIT
9/15/2025 22:15,147.306,147.335,147.302,147.328,565,21,50.98538949,-1,1,1,-1,0.058485577,0.36,2,1,0.022,0.033,0.36,0.55,1,WAIT
9/15/2025 22:30,147.33,147.38,147.319,147.363,585,22,54.81635229,1,1,1,1,0.058665182,0.6,2,1,0.033,0.061,0.56,1.04,1,WAIT
9/15/2025 22:45,147.363,147.402,147.361,147.38,889,21,56.59106112,1,1,1,1,0.057403366,0.29,2,1,0.017,0.041,0.29,0.7,1,WAIT
9/15/2025 23:00,147.382,147.388,147.356,147.368,475,21,54.95034571,1,-1,-1,-1,0.055588816,-0.21,2,-1,0.014,0.032,0.24,0.56,-1,WAIT
9/15/2025 23:15,147.369,147.405,147.359,147.401,412,20,58.51255541,-1,1,1,1,0.054903893,0.59,2,1,0.032,0.046,0.58,0.83,1,WAIT
9/15/2025 23:30,147.401,147.419,147.396,147.41,448,21,59.45420028,1,1,1,1,0.052625018,0.16,2,1,0.009,0.023,0.16,0.42,1,WAIT
9/15/2025 23:45,147.409,147.41,147.363,147.363,860,21,52.7241257,1,-1,-1,-1,0.052223227,-0.89,2,-1,0.046,0.047,0.87,0.89,-1,WAIT
9/16/2025 0:00,147.367,147.367,147.278,147.32,27,31,47.43382056,-1,-1,-1,-1,0.054850164,-0.82,2,-1,0.047,0.089,0.9,1.7,-1,WAIT
9/16/2025 0:15,147.32,147.32,147.297,147.308,22,92,46.04529441,-1,-1,-1,1,0.052575132,-0.22,2,-1,0.012,0.023,0.22,0.42,-1,WAIT
